txn_id,ticker,quantity,purchase_price,purchase_date,broker,account,action,txn_source,row_type,source_file
xb2266f699b7e6b7,AMZN,0.484779,206.2793,2026-02-06,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
x54063142f324a5b,BLK,0.094764,1055.25,2026-02-06,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
x719e27ee06aa720,GOOGL,0.307753,324.935,2026-02-06,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
xe5d5f09de010f5f,GS,0.107647,928.9618,2026-02-06,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
xb5c262cfccd9128,MSFT,0.250337,399.4612,2026-02-06,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
x6e0153e42bec623,AMZN,0.500881,199.6481,2026-02-13,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
x79f6efcdc602f4e,BLK,0.093532,1069.1439,2026-02-13,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
xc054e96a0eb03ac,GOOGL,0.325446,307.27,2026-02-13,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
x62f5d7768e403a7,GS,0.110733,903.07,2026-02-13,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
xd8e08efa9263308,MSFT,0.2478,403.55,2026-02-13,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
x7d86a9a848bb990,NVDA,0.063482,188.555,2026-02-18,robinhood,Hulmane,Buy,manual_cash,trade,mcp:632375721
xa558112c7fa39a1,AMZN,0.487806,204.9992,2026-02-19,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
x3253f6eea18200b,BLK,0.093237,1072.5268,2026-02-19,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
x116878e49edfa7f,GOOGL,0.328806,304.13,2026-02-19,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
xdf3d70b4810c82f,GS,0.109974,909.303,2026-02-19,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
x9160768ff13d190,MSFT,0.251474,397.655,2026-02-19,robinhood,Hulmane,Buy,recurring_cash,trade,mcp:632375721
