Date,AAL,AAPL,ADBE,ADPT,AGRX,AMAT,AMD,AMZN,ASML,ASTS,ATRO,AVGO,BE,BLK,BRK.B,CAT,CCJ,COPX,CRM,CSCO,CVX,DAL,DASH,DIS,DKS,EA,GE,GH,GLUU,GOLD,GOOGL,GPRO,GS,IAU,IBN,INFY,INTC,IREN,JNJ,JPM,KTOS,LEU,LMT,LRCX,MA,MDB,META,MOH,MSFT,MU,NBIS,NFLX,NOC,NOK,NVDA,ORCL,PEN,PL,PLTR,PYPL,QBTS,QCOM,QUBT,RDDT,RGTI,RIVN,RKLB,RTX,S,SHOP,SLAB,SLB,SLV,SNAP,SNDK,STX,TCGL,TEAM,TSLA,TSM,TXN,UAL,UBER,UEC,UNH,URA,UUUU,V,VLO,VMW,VOO,VRTX,WDC,WKHS,WMT,WORK,ZS
2019-06-03,27.2000,43.3250,259.0300,,,38.7800,27.5800,84.6345,186.9800,,41.2300,25.3180,10.7100,419.9000,198.5600,120.6500,10.3200,18.7100,145.1000,51.7800,115.9900,52.1000,,132.4700,35.6900,91.3100,47.4988,78.1700,,6.8000,51.9370,6.1200,183.1900,25.3600,11.9500,10.4500,43.4600,,131.4400,106.4600,22.3500,3.4200,344.5700,17.2430,242.2600,130.5600,164.1500,145.1300,119.8400,32.6900,,33.6630,306.9400,4.9900,3.3445,50.2400,144.3200,,,105.5200,,66.6600,5.0000,,,,,79.8364,,26.5000,94.3300,35.4900,13.8700,11.6900,,42.5200,,117.3000,11.9313,38.8200,105.1700,77.7200,41.2500,1.3500,236.5600,11.7100,2.7800,158.6000,72.0000,,252.1200,166.6400,28.0272,5130.0000,33.9867,,66.9000
2019-06-04,29.1200,44.9100,268.7100,,,40.4200,29.5700,86.4780,190.4600,,41.4000,26.5700,10.8000,434.5300,201.5900,122.0800,10.3000,19.1900,150.8100,53.2300,117.3000,54.3100,,134.8200,36.7300,94.1300,49.8414,85.2700,,6.6250,52.7245,6.1400,189.8800,25.4000,11.9100,10.5800,44.7900,,133.7300,109.7400,22.7800,3.5300,349.3500,18.0420,249.1800,138.2100,167.5000,152.5600,123.1600,34.4900,,35.3400,312.2700,5.0300,3.5750,52.0200,150.5200,,,108.7300,,68.4500,5.0000,,,,,81.4160,,27.4000,98.1900,35.7300,13.8900,12.9500,,44.1600,,122.6500,12.9067,39.0600,109.1200,80.5200,42.7500,1.3500,240.7600,11.8000,2.8400,162.3300,73.8500,,257.6700,171.2700,29.5843,5190.0000,34.1867,,71.9600
2019-06-05,30.3600,45.6350,272.8600,,,40.5900,29.5000,86.9250,189.4000,,43.3700,26.5720,10.7400,438.1500,203.3000,123.1200,10.1300,18.8800,158.4400,54.7500,117.6500,54.9400,,135.9400,36.1600,95.2500,49.2931,87.5800,,6.7550,52.2320,6.0800,188.4400,25.4600,11.8300,10.4400,44.5500,,134.3800,110.1300,22.6000,3.4000,352.7000,18.2320,256.2600,148.8700,168.1700,153.3400,125.8300,33.3400,,35.5730,316.7700,5.0500,3.5320,52.1000,152.5600,,,110.7700,,67.0200,5.0000,,,,,82.6683,,29.2520,97.9800,34.9400,13.8800,12.9400,,44.0500,,126.4300,13.1060,38.2300,109.4800,81.8500,45.0000,1.3300,242.7700,11.6800,2.8700,165.3900,73.1400,,259.8500,173.2700,28.6470,6480.0000,34.8067,,72.4500
2019-06-06,30.3800,46.3050,274.8000,,,41.3800,31.8200,87.7180,192.7600,,43.7500,27.2790,10.1000,439.2300,204.7700,123.3900,10.1100,18.9100,159.3100,55.1000,120.6800,54.6900,,137.2100,35.7400,96.3900,49.4426,87.9300,,6.4400,52.3880,5.9300,189.8100,25.5200,11.8800,10.5300,45.1000,,136.6800,110.3700,22.2200,3.3500,352.5200,18.4640,257.8300,147.7400,168.3300,155.2800,127.8200,33.4700,,35.7130,314.8200,5.0200,3.5945,52.5900,154.7400,,,111.7800,,67.5900,5.0000,,,,,82.8634,,29.7060,97.3000,35.0500,13.9200,13.8200,,44.4000,,127.7100,13.7300,38.4400,110.1900,82.9600,44.9200,1.2900,241.8200,11.6900,2.9300,166.9200,74.4700,,261.5400,167.7500,28.7150,6240.0000,35.0367,,72.3300
2019-06-07,30.9200,47.5375,278.1600,,,41.5100,32.4100,90.2015,196.6200,,42.7300,27.4870,10.2200,444.1100,205.8100,124.4600,10.2700,19.1300,161.2700,55.9300,121.4800,55.0700,,138.0400,35.1800,96.9900,49.7417,90.8500,,6.4950,53.4185,5.8400,189.8100,25.6600,11.9500,10.6300,46.0300,,138.5500,109.1600,22.3800,3.1100,355.2300,18.6680,265.8000,169.9700,173.3500,153.7300,131.4000,33.9900,,36.0870,318.2900,5.0800,3.6375,53.2600,160.8100,,,114.0200,,68.6900,5.0000,,,,,83.1655,,30.5050,98.0800,35.6000,14.0600,13.8700,,43.5600,,131.4300,13.6333,38.8200,111.1700,83.2700,44.1600,1.2900,246.7700,11.8600,3.0100,170.0500,74.7300,,264.1500,173.5100,27.9214,6840.0000,35.3533,,75.5100
2019-06-10,30.7600,48.1450,280.3400,,,43.1400,33.2300,93.0315,198.2600,,42.2700,28.0210,10.4300,443.8100,207.1600,125.7400,10.1800,19.2900,152.7900,56.4200,122.2900,54.7300,,137.0700,35.4400,95.5100,50.0906,90.2700,,6.5000,54.1380,5.9200,194.1200,25.4400,11.9100,10.7800,46.8000,,139.0200,110.3400,21.6900,3.1900,351.6000,19.1170,266.1000,172.3600,174.8200,152.5500,132.6000,34.9400,,35.2010,311.3100,4.9800,3.7108,54.0100,165.5800,,,115.6200,,70.5400,5.1000,,,,,80.5601,,30.6730,100.6500,35.4700,13.7800,13.7700,,43.9500,,133.0000,14.1920,39.6200,112.6300,82.6700,42.6100,1.3000,248.1400,11.8300,3.0700,170.8200,75.8600,,265.3900,172.8400,28.7075,8550.0000,35.8400,,76.9200
2019-06-11,30.5800,48.7025,275.9900,,,43.7500,32.4100,93.1850,200.1000,,42.9400,28.3480,10.4800,443.1200,206.6300,127.2800,10.2000,19.8200,150.1500,57.1100,121.1700,54.8800,,135.0800,34.8100,94.5800,50.4394,87.1100,,6.5000,54.0520,6.0200,194.7300,25.3800,12.0400,10.8400,46.8500,,139.7800,110.6800,20.9900,3.4900,344.0400,18.9920,263.6600,163.0300,178.1000,152.0600,132.1000,34.8400,,35.1270,300.7300,5.1600,3.7687,53.9400,165.2100,,,114.6000,,71.2400,5.1000,,,,,77.3694,,30.6710,100.1800,36.6900,13.8100,13.5400,,43.7900,,128.9300,14.4733,39.9600,112.9300,82.7700,42.4500,1.3100,245.8700,11.9200,3.0800,170.3100,76.3600,,265.3400,172.0000,29.0325,7770.0000,35.9800,,75.8300
2019-06-12,31.1000,48.5475,276.8400,,,41.5000,32.1800,92.7660,196.8200,,43.3500,27.9730,10.5000,446.2500,204.5700,127.1000,10.2100,19.6900,151.2800,55.8600,120.1900,55.4500,,135.7200,34.2900,92.6700,51.2369,87.6200,,6.1050,53.9550,6.0000,190.2200,25.5200,11.9200,10.8000,46.3200,,141.6800,109.2700,21.6400,3.2800,345.5100,17.9880,263.8500,166.3200,175.0400,147.9100,131.4900,32.9600,,34.5560,304.8500,5.1000,3.6550,53.6200,163.0900,,,114.5000,,69.5900,5.1000,,,,,78.0806,,31.0140,97.9200,35.5800,13.8400,13.7500,,43.6400,,128.9700,13.9507,39.4600,110.3400,83.7900,42.1700,1.3000,244.5000,11.9100,3.0400,171.5900,76.5000,,264.8400,170.6300,27.3923,7290.0000,36.2733,,77.1700
2019-06-13,33.0900,48.5375,276.3000,,,41.6500,31.3900,93.5150,197.9300,,44.2000,28.1610,11.2900,448.2800,204.9900,127.1700,10.4000,19.7400,151.3400,56.1700,120.9100,56.5200,,141.7400,33.3700,93.5700,51.3864,89.8100,,6.1000,54.5505,5.8800,191.4500,25.6600,11.9400,10.6200,46.7000,,140.7100,109.5400,21.9800,3.0100,349.0800,18.0190,261.2000,166.9600,177.4700,148.0800,132.3200,33.3800,,34.3430,307.6300,5.0800,3.7065,53.8400,163.6300,,,115.7200,,69.9300,5.7500,,,,,78.5463,,30.6990,98.7900,36.7900,13.9600,14.1100,,44.5600,,130.2800,14.2607,39.4500,111.1800,87.1100,44.3100,1.3100,244.9600,11.9700,3.1300,169.3500,77.2600,,266.0200,168.8900,28.2237,7200.0000,36.2167,,79.7200
2019-06-14,32.6800,48.1850,274.2800,,,41.2300,30.3600,93.4835,192.0200,,39.4900,26.5930,11.1100,446.9700,205.1600,127.2300,10.3200,19.5200,150.0100,54.7500,120.8100,55.9900,,141.6500,33.9200,92.7300,50.9877,88.8200,,6.2040,54.3150,5.7700,191.6600,25.6600,11.9100,10.6000,46.1900,,140.0900,109.8200,21.6900,3.3500,350.1400,17.6800,260.1000,165.6800,181.3300,144.9300,132.4500,32.6600,,33.9730,309.4300,4.9500,3.6160,53.2800,166.8300,,,116.1700,,68.7200,6.8000,,,,,78.8546,,30.5110,95.4500,35.9300,13.9100,13.9600,,44.2600,,129.9100,14.3280,37.8400,107.3100,87.1200,43.2300,1.3400,245.3700,11.8700,3.1300,169.6600,76.7600,,265.6200,170.2200,27.4603,7590.0000,36.3567,,77.6700
