All Transactions Activity Types

Account Activity for Individual Brokerage -7566 from 2024-05-28 to 2026-05-28

Total:,0.33

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
05/14/26,05/14/26,05/14/26,Dividend,APPLE INC DIVIDEND REINVESTMENT,AAPL,--,0.289,295.919,-85.52,0.0,--,--
05/14/26,05/14/26,05/14/26,Qualified Dividend,APPLE INC REC 05/14/26 PAY 05/14/26 RATE 0.00000000 QTY 0.00000000,AAPL,--,,,85.67,0.0,--,--
04/16/26,04/16/26,04/16/26,Transfer,Allocate shares for 167701776,AAPL,--,31.0,,0.0,0.0,--,--
03/16/26,03/16/26,03/16/26,Transfer,Allocate shares for 165801353,AAPL,--,111.0,,0.0,0.0,--,--
02/12/26,02/12/26,02/12/26,Dividend,APPLE INC DIVIDEND REINVESTMENT,AAPL,--,0.163,278.263,-45.35,0.0,--,--
02/12/26,02/12/26,02/12/26,Qualified Dividend,APPLE INC REC 02/12/26 PAY 02/12/26 RATE 0.00000000 QTY 0.00000000,AAPL,--,,,45.53,0.0,--,--
02/02/26,02/02/26,02/02/26,Transfer,Allocate shares for 163361879,AAPL,--,59.015,,0.0,0.0,--,--
11/13/25,11/13/25,11/13/25,Dividend,APPLE INC DIVIDEND REINVESTMENT,AAPL,--,0.111,273.604,-30.16,0.0,--,--
11/13/25,11/13/25,11/13/25,Qualified Dividend,APPLE INC REC 11/13/25 PAY 11/13/25 RATE 0.00000000 QTY 0.00000000,AAPL,--,,,30.16,0.0,--,--
09/16/25,09/16/25,09/16/25,Transfer,Allocate shares for 155796095,AAPL,--,116.0,,0.0,0.0,--,--



"For all accounts, the Activity Date and the Processing Date are displayed. However, for Morgan Stanley and Co. and Externally Held accounts, only the Activity Date is available; therefore, the Processing Date listed for these accounts will be equivalent to the Activity Date. Please rely on the official account statements of your Morgan Stanley & Co. or Externally Held account for the actual Processing Date of any of these assets, and refer to the definitions section for more information on these categories."

"The information provided with respect to your employee stock option plan (""ESOP"") was obtained from third party sources which Morgan Stanley believes to be reliable. However, we make no representation or guarantee that the information is accurate or complete. There may be other requirements, details, and criteria governing your ESOP. Please refer to the documentation provided by your employer for the terms and conditions governing your ESOP."

E*TRADE from Morgan Stanley credits and offers may be subject to U.S. withholding taxes and reporting at retail value. Taxes related to these credits and offers are the customer's responsibility.

"Under the Bank Deposit Program, free credit balances held in an account(s) at Morgan Stanley Smith Barney LLC are automatically deposited into an interest bearing deposit account(s), at FDIC-insured banks. For more information, view the Bank Deposit Program Disclosure Statement."

