All Transactions Activity Types

Account Activity for Individual Brokerage -6829 from 2024-05-28 to 2026-05-28

Total:,-554.99

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
03/31/26,03/31/26,03/31/26,Qualified Dividend,BROADCOM INC REC 03/31/26 PAY 03/31/26 RATE 0.00000000 QTY 0.00000000,AVGO,--,,,0.25,0.0,--,--
03/12/26,03/12/26,03/12/26,Qualified Dividend,MICROSOFT CORP REC 03/12/26 PAY 03/12/26 RATE 0.00000000 QTY 0.00000000,MSFT,--,,,0.18,0.0,--,--
02/03/26,02/03/26,02/03/26,Transfer,"INTEL CORP TO   ROBINHOOD SECURITIES, LL",INTC,--,-1.0,,0.0,0.0,--,--
02/03/26,02/03/26,02/03/26,Transfer,"MICROSOFT CORP TO   ROBINHOOD SECURITIES, LL",MSFT,--,-27.0,,0.0,0.0,--,--
02/03/26,02/03/26,02/03/26,Transfer,"WALMART INC TO   ROBINHOOD SECURITIES, LL",WMT,--,-1.0,,0.0,0.0,--,--
02/03/26,02/03/26,02/03/26,Transfer,"GOLD.COM INC TO   ROBINHOOD SECURITIES, LL",GOLD,--,-10.0,,0.0,0.0,--,--
02/03/26,02/03/26,02/03/26,Transfer,"RTX CORPORATION TO   ROBINHOOD SECURITIES, LL",RTX,--,-10.0,,0.0,0.0,--,--
02/03/26,02/03/26,02/03/26,Transfer,"BROADCOM INC TO   ROBINHOOD SECURITIES, LL",AVGO,--,-874.0,,0.0,0.0,--,--
02/03/26,02/03/26,02/03/26,Transfer,"ASML HOLDING NV NY REG NEW TO   ROBINHOOD SECURITIES, LL",ASML,--,-2.0,,0.0,0.0,--,--
02/03/26,02/03/26,02/03/26,Transfer,"NOKIA CP ADR TO   ROBINHOOD SECURITIES, LL",NOK,--,-13.0,,0.0,0.0,--,--
02/03/26,02/03/26,02/03/26,Transfer,"AST SPACEMOBILE INC CL A TO   ROBINHOOD SECURITIES, LL",ASTS,--,-9.0,,0.0,0.0,--,--
02/03/26,02/03/26,02/03/26,Transfer,"GLOBAL X COPPER MINERS ETF TO   ROBINHOOD SECURITIES, LL",COPX,--,-12.0,,0.0,0.0,--,--
02/03/26,02/03/26,02/03/26,Transfer,"NVIDIA CORPORATION TO   ROBINHOOD SECURITIES, LL",NVDA,--,-1.0,,0.0,0.0,--,--
02/03/26,02/03/26,02/03/26,Funds Transferred,"BROKER TO BROKER TO   ROBINHOOD SECURITIES, LL",--,--,,,-7.26,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,GLOBAL X COPPER MINERS ETF UNSOLICITED TRADE,COPX,--,12.0,89.78,-1077.36,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,GOLD.COM INC UNSOLICITED TRADE,GOLD,--,10.0,51.458,-514.58,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,AST SPACEMOBILE INC CL A UNSOLICITED TRADE,ASTS,--,9.0,111.4,-1002.6,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,RTX CORPORATION UNSOLICITED TRADE,RTX,--,10.0,201.695,-2016.95,0.0,--,--
01/27/26,01/27/26,01/28/26,Sold,ORACLE CORP UNSOLICITED TRADE,ORCL,--,-0.12,174.94,20.99,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,ASML HOLDING NV NY REG NEW UNSOLICITED TRADE,ASML,--,2.0,1462.685,-2925.37,0.0,--,--
