Trade Date,Order Type,Security,Cusip,Transaction Description,Quantity,Executed Price,Commission,Net Amount
1/24/2025,Buy,AVGO,11135F101,"BROADCOM INC UNSOLICITED TRADE",4,246.3046,0.0000,985.22
1/24/2025,Buy,NVDA,67066G104,"NVIDIA CORPORATION UNSOLICITED TRADE",1,143.9399,0.0000,143.94
2/13/2025,Buy,AAPL,037833100,"APPLE INC DIVIDEND REINVESTMENT",0.054,234.10158,0.0000,12.5
3/13/2025,Buy,MSFT,594918104,"MICROSOFT CORP DIVIDEND REINVESTMENT",0.059,380.64294,0.0000,22.41
3/31/2025,Buy,AVGO,11135F101,"BROADCOM INC DIVIDEND REINVESTMENT",3.546,169.24494,0.0000,600.03
4/7/2025,Buy,WMT,931142103,"WALMART INC DIVIDEND REINVESTMENT",0.003,86.02067,0.0000,0.24
5/15/2025,Buy,AAPL,037833100,"APPLE INC DIVIDEND REINVESTMENT",0.061,213.01615,0.0000,13.01
5/27/2025,Buy,WMT,931142103,"WALMART INC DIVIDEND REINVESTMENT",0.003,95.92597,0.0000,0.24
6/12/2025,Buy,MSFT,594918104,"MICROSOFT CORP DIVIDEND REINVESTMENT",0.048,474.84407,0.0000,22.46
6/30/2025,Sell,AVGO,11135F101,"BROADCOM INC UNSOLICITED TRADE",50,275,9.95,13740.05
6/30/2025,Sell,AVGO,11135F101,"BROADCOM INC UNSOLICITED TRADE",50,275,9.95,13740.05
6/30/2025,Buy,AVGO,11135F101,"BROADCOM INC DIVIDEND REINVESTMENT",2.224,270.784,0.0000,602.12
7/10/2025,Sell,AVGO,11135F101,"BROADCOM INC UNSOLICITED TRADE",50,280,9.95,13990.05
8/14/2025,Buy,AAPL,037833100,"APPLE INC DIVIDEND REINVESTMENT",0.056,232.75857,0.0000,13.03
9/2/2025,Buy,WMT,931142103,"WALMART INC DIVIDEND REINVESTMENT",0.003,96.45106,0.0000,0.24
9/11/2025,Buy,MSFT,594918104,"MICROSOFT CORP DIVIDEND REINVESTMENT",0.045,501.84242,0.0000,22.5
10/17/2025,Sell,AAPL,037833100,"APPLE INC UNSOLICITED TRADE",50,249.3103,0.0000,12465.51
10/17/2025,Buy,ORCL,68389X105,"ORACLE CORP UNSOLICITED TRADE",43,290.205,0.0000,12478.82
10/17/2025,Sell,AAPL,037833100,"APPLE INC UNSOLICITED TRADE",0.171,249.325,0.0000,42.63
11/12/2025,Buy,NOK,654902204,"NOKIA CP ADR UNSOLICITED TRADE",12,6.88,0.0000,82.56
11/19/2025,Buy,NOK,654902204,"NOKIA CP ADR UNSOLICITED TRADE",1,6.21,0.0000,6.21
12/11/2025,Buy,MSFT,594918104,"MICROSOFT CORP DIVIDEND REINVESTMENT",0.051,479.47697,0.0000,24.45
12/31/2025,Buy,AVGO,11135F101,"BROADCOM INC DIVIDEND REINVESTMENT",1.616,350.84206,0.0000,566.96

