"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/27/2026","5/27/2026","5/28/2026","MSFT","Microsoft
CUSIP: 594918104
Dividend Reinvestment","Buy","0.001773","$411.66","($0.73)"
"5/27/2026","5/27/2026","5/28/2026","AMAT","Applied Materials
CUSIP: 038222105
Dividend Reinvestment","Buy","0.008734","$447.64","($3.91)"
"5/26/2026","5/26/2026","5/26/2026","MSFT","Cash Div: R/D 2026-05-21 P/D 2026-06-11 - 0.805301 shares at 0.91","CDIV","","","$0.73"
"5/26/2026","5/26/2026","5/26/2026","AMAT","Cash Div: R/D 2026-05-21 P/D 2026-06-11 - 7.369207 shares at 0.53","CDIV","","","$3.91"
"5/13/2026","5/13/2026","5/14/2026","WMT","Walmart
CUSIP: 931142103
Dividend Reinvestment","Buy","0.008165","$132.27","($1.08)"
"5/12/2026","5/12/2026","5/12/2026","WMT","Cash Div: R/D 2026-05-08 P/D 2026-05-26 - 4.362737 shares at 0.2475","CDIV","","","$1.08"
"5/11/2026","5/11/2026","5/12/2026","UNH","UnitedHealth
CUSIP: 91324P102","Buy","0.084297","$381.39","($32.15)"
"5/11/2026","5/11/2026","5/12/2026","SNDK","Sandisk Corporation
CUSIP: 80004C200","Buy","0.32281","$1,548.90","($500.00)"
"5/6/2026","5/6/2026","5/7/2026","ASML","ASML Holding NV
CUSIP: N07059210
Dividend Reinvestment","Buy","0.000178","$1,515.48","($0.27)"
"5/5/2026","5/5/2026","5/5/2026","ASML","Cash Div: R/D 2026-04-27 P/D 2026-05-05 - 0.102329 shares at 3.16845","CDIV","","","$0.32"
"5/5/2026","5/5/2026","5/5/2026","ASML","Foreign Tax Witholding at $0.05","DTAX","","","($0.05)"
"5/1/2026","5/1/2026","5/4/2026","","ACH Deposit","ACH","","","$500.00"
"4/16/2026","4/16/2026","4/17/2026","MU","Micron Technology
CUSIP: 595112103
Dividend Reinvestment","Buy","0.000156","$448.47","($0.07)"
"4/15/2026","4/15/2026","4/15/2026","MU","Cash Div: R/D 2026-03-30 P/D 2026-04-15 - 0.495956 shares at 0.15","CDIV","","","$0.07"
"4/14/2026","4/14/2026","4/15/2026","IAU","iShares Gold Trust
CUSIP: 464285204
Recurring","Buy","0.549994","$90.91","($50.00)"
"4/14/2026","4/14/2026","4/15/2026","","ACH Deposit","ACH","","","$50.00"
"4/13/2026","4/13/2026","4/14/2026","SLV","iShares Silver Trust
CUSIP: 46428Q109
Recurring","Buy","0.736615","$67.88","($50.00)"
"4/13/2026","4/13/2026","4/14/2026","","ACH Deposit","ACH","","","$50.00"
"4/10/2026","4/10/2026","4/13/2026","BLK","Blackrock, Inc.
CUSIP: 09290D101
Recurring","Buy","0.050078","$998.42","($50.00)"
"4/10/2026","4/10/2026","4/13/2026","GOOGL","Alphabet Class A
CUSIP: 02079K305
Recurring","Buy","0.157855","$316.74","($50.00)"
"4/10/2026","4/10/2026","4/13/2026","","ACH Deposit","ACH","","","$50.00"
"4/9/2026","4/9/2026","4/10/2026","KTOS","Kratos Defense & Security Solutions
CUSIP: 50077B207
Recurring","Buy","0.726336","$68.84","($50.00)"
"4/9/2026","4/9/2026","4/10/2026","ASTS","AST SpaceMobile
CUSIP: 00217D100
Recurring","Buy","0.536538","$93.19","($50.00)"
"4/9/2026","4/9/2026","4/10/2026","SNDK","Sandisk Corporation
CUSIP: 80004C200
Recurring","Buy","0.119354","$837.84","($100.00)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","Invesco QQQ
CUSIP: 46090E103
Recurring","Buy","0.081993","$609.80","($50.00)"
"4/9/2026","4/9/2026","4/10/2026","MU","Micron Technology
CUSIP: 595112103
Recurring","Buy","0.120917","$413.50","($50.00)"
"4/9/2026","4/9/2026","4/10/2026","IREN","IREN Limited
CUSIP: Q4982L109
Recurring","Buy","1.336541","$37.41","($50.00)"
"4/9/2026","4/9/2026","4/10/2026","LRCX","Lam Research Corp
CUSIP: 512807306
Dividend Reinvestment","Buy","0.006465","$252.11","($1.63)"
"4/9/2026","4/9/2026","4/10/2026","STX","Seagate Technology
CUSIP: G7997R103
Dividend Reinvestment","Buy","0.00074","$499.68","($0.37)"
"4/8/2026","4/8/2026","4/8/2026","LRCX","Cash Div: R/D 2026-03-04 P/D 2026-04-08 - 6.270771 shares at 0.26","CDIV","","","$1.63"
"4/8/2026","4/8/2026","4/8/2026","STX","Cash Div: R/D 2026-03-25 P/D 2026-04-08 - 0.506085 shares at 0.74","CDIV","","","$0.37"
"4/8/2026","4/8/2026","4/8/2026","SLV","Stock Lending","SLIP","","","$0.01"
"4/8/2026","4/8/2026","4/8/2026","COPX","Stock Lending","SLIP","","","$0.01"
"4/7/2026","4/7/2026","4/8/2026","IAU","iShares Gold Trust
CUSIP: 464285204
Recurring","Buy","0.567601","$88.09","($50.00)"
"4/7/2026","4/7/2026","4/8/2026","WMT","Walmart
CUSIP: 931142103
Dividend Reinvestment","Buy","0.008711","$123.98","($1.08)"
"4/6/2026","4/6/2026","4/6/2026","WMT","Cash Div: R/D 2026-03-20 P/D 2026-04-06 - 4.354026 shares at 0.2475","CDIV","","","$1.08"
"4/6/2026","4/6/2026","4/7/2026","SLV","iShares Silver Trust
CUSIP: 46428Q109
Recurring","Buy","0.757744","$65.99","($50.00)"
"4/2/2026","4/2/2026","4/6/2026","NVDA","NVIDIA
CUSIP: 67066G104
Dividend Reinvestment","Buy","0.001149","$174.03","($0.20)"
"4/1/2026","4/1/2026","4/1/2026","NVDA","Cash Div: R/D 2026-03-11 P/D 2026-04-01 - 20.314674 shares at 0.01","CDIV","","","$0.20"
"4/1/2026","4/1/2026","4/2/2026","AVGO","Broadcom
CUSIP: 11135F101
Dividend Reinvestment","Buy","0.100075","$313.16","($31.34)"
"4/1/2026","4/1/2026","4/2/2026","","ACH Deposit","ACH","","","$500.00"
"3/31/2026","3/31/2026","3/31/2026","AVGO","Cash Div: R/D 2026-03-23 P/D 2026-03-31 - 48.213544 shares at 0.65","CDIV","","","$31.34"
"3/31/2026","3/31/2026","4/1/2026","IAU","iShares Gold Trust
CUSIP: 464285204
Recurring","Buy","0.571167","$87.54","($50.00)"
"3/31/2026","3/31/2026","4/1/2026","","ACH Deposit","ACH","","","$50.00"
"3/30/2026","3/30/2026","3/31/2026","SLV","iShares Silver Trust
CUSIP: 46428Q109
Recurring","Buy","0.785916","$63.62","($50.00)"
"3/30/2026","3/30/2026","3/31/2026","","ACH Deposit","ACH","","","$50.00"
"3/30/2026","3/30/2026","3/31/2026","QQQ","Invesco QQQ
CUSIP: 46090E103
Dividend Reinvestment","Buy","0.000213","$562.62","($0.12)"
"3/27/2026","3/27/2026","3/27/2026","QQQ","Cash Div: R/D 2026-03-23 P/D 2026-03-27 - 0.164849 shares at 0.73282","CDIV","","","$0.12"
