ticker,total_quantity,invested,buys,sells
AAL,0.0,44.51,1,2
AAPL,-55.614055,-16885.57,83,3
ADBE,0.0,5.85,2,1
ADPT,2.727768,50.0,1,0
AGRX,-0.0005,-0.0,0,1
AMAT,2.538332,413.5,31,0
AMD,49.646857,13499.98,10,0
AMZN,32.055048,7699.74,65,0
ASML,5.41668,7345.32,13,0
ASTS,13.926961,1502.6,3,0
ATRO,2.615801,199.98,2,0
AVGO,2303.034319,262028.54,55,3
BE,1.0,148.14,1,0
BLK,6.020689,5332.19,53,1
BRK.B,0.195763,95.0,1,0
CAT,2.394566,1603.6,9,0
CCJ,0.826468,100.0,1,0
COPX,51.646759,4604.7,10,0
CRM,0.0,-23.35,8,1
CSCO,1.785835,109.14,23,0
CVX,1.687658,304.97,7,0
DAL,0.0,-2.89,10,1
DASH,0.0,20.89,1,1
DIS,0.0,77.04,5,1
DKS,0.0,-155.63,15,1
EA,1.020274,143.48,16,0
FCASH**,149.52,149.52,1,0
FDRXX**,0.03,0.03,1,0
GE,0.0,-0.67,3,2
GH,0.43599,50.0,1,0
GLUU,-1.0,-7.98,0,1
GOLD,42.518974,2131.44,5,0
GOOGL,31.856337,6700.96,72,0
GPRO,0.0,-1.06,2,1
GS,7.129893,5711.15,29,0
IAU,5.331016,500.0,5,0
IBN,0.0,-99.03,6,2
INFY,0.0,-2.73,3,2
INTC,12.090955,457.25,27,0
IREN,1.80511,100.0,2,0
JNJ,0.424306,69.37,22,0
JPM,21.149611,4579.83,54,0
KTOS,1.71702,200.0,2,0
LEU,0.748685,200.0,1,0
LMT,0.0,-10.65,14,1
LRCX,0.420031,100.11,2,0
MA,0.0,-381.81,24,2
MDB,2.807022,1054.36,5,1
META,7.888276,5050.63,11,0
MOH,7.236717,1049.87,2,0
MSFT,26.277251,7809.09,100,0
MU,4.855744,3100.2,9,0
NBIS,3.22303,568.53,3,0
NFLX,54.633796,6258.17,7,0
NOC,0.155225,100.79,11,0
NOK,14.579485,99.51,5,0
NVDA,80.151687,15767.63,73,0
ORCL,-42.577209,-2090.22,32,4
PEN,3.733731,1049.81,2,0
PL,84.059628,2373.62,4,0
PLTR,38.478108,6047.02,6,1
PYPL,0.0,180.94,1,1
QBTS,3.696174,100.02,1,0
QCOM,0.0,-0.15,20,1
QUBT,0.0,2.38,1,1
RDDT,0.220123,50.0,1,0
RGTI,1.0,24.96,1,0
RIVN,1.187655,20.0,1,0
RKLB,5.731335,500.0,3,0
RTX,21.644424,4251.44,19,0
S,-1.0,-8.31,0,1
SHOP,-0.415737,19.04,1,1
SLAB,0.194908,40.5,1,0
SLB,1.042507,50.31,2,0
SLV,27.330321,2499.97,7,0
SNAP,0.0,-0.22,1,1
SNDK,3.290694,3450.0,8,0
STX,0.714237,300.53,6,0
TCGL,0.050625,9.72,1,0
TEAM,0.0,38.74,1,1
TSLA,-5.404984,-1867.35,3,1
TSM,5.138313,1601.08,8,0
TXN,0.0,-4.12,20,1
UAL,0.0,-53.61,1,1
UBER,0.0,-27.35,1,1
UEC,3.079765,50.02,2,0
UNH,1.767555,607.11,5,0
URA,13.336783,718.14,7,0
UUUU,2.35054,50.0,2,0
V,0.0,-529.76,45,2
VLO,0.561759,101.34,3,0
VMW,0.0824,12.35,2,0
VOO,0.169918,100.97,9,0
VRTX,1.0,245.14,1,0
WDC,1.08136,300.14,6,0
WKHS,0.0,39.66,1,1
WMT,43.123227,4663.94,73,0
WORK,0.231454,10.0,1,0
ZS,0.0,-140.8,1,1
